source_project,source_priority,repo_url,commit_sha,branch,module,file,file_stem,suffix,parameter_count,port_count,instance_count,clock_names,reset_names,handshakes
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_INTP_unit,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_INTP_unit.v,NV_NVDLA_CDP_DP_INTP_unit,.v,0,14,15,nvdla_op_gated_clk_int;nvdla_op_gated_clk_fp16,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_LUT_CTRL_UNIT_pipe_p1,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_LUT_CTRL_unit.v,NV_NVDLA_CDP_DP_LUT_CTRL_unit,.v,0,8,2,nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_LUT_CTRL_UNIT_pipe_p2,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_LUT_CTRL_unit.v,NV_NVDLA_CDP_DP_LUT_CTRL_unit,.v,0,8,2,nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_LUT_CTRL_UNIT_pipe_p3,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_LUT_CTRL_unit.v,NV_NVDLA_CDP_DP_LUT_CTRL_unit,.v,0,8,2,nvdla_op_gated_clk_fp16,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_LUT_CTRL_unit,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_LUT_CTRL_unit.v,NV_NVDLA_CDP_DP_LUT_CTRL_unit,.v,0,25,24,nvdla_core_clk;nvdla_op_gated_clk_fp16;nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_LUT_ctrl,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_LUT_ctrl.v,NV_NVDLA_CDP_DP_LUT_ctrl,.v,0,56,8,nvdla_core_clk;nvdla_op_gated_clk_fp16;nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_MUL_unit,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_MUL_unit.v,NV_NVDLA_CDP_DP_MUL_unit,.v,0,14,1,nvdla_core_clk;nvdla_op_gated_clk_int;nvdla_op_gated_clk_fp16,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_bufferin,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_bufferin.v,NV_NVDLA_CDP_DP_bufferin,.v,0,8,59,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_cvtin,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_cvtin.v,NV_NVDLA_CDP_DP_cvtin,.v,0,15,7,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_cvtout,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_cvtout.v,NV_NVDLA_CDP_DP_cvtout,.v,0,18,12,nvdla_core_clk,,
